origen;url;titulo;precio;moneda;marca;modelo;hp_motor;anio;formas_pago;ubicacion;condicion;descripcion;precio_nor
Rastroagro;https://rastroagro.com/tractores/kubota-8540n-0-pub-23-10-18-15-54-29;Tractor Kubota M8540N;Consultar;;Kubota;M8540N;84.0;2026.0;Anticipo 30 % + 11 cheques | 6 cheques (cuotas mensuales) | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Kubota M8540N Narrow Motor Kubota diesel | 4 Cilindros - Turbo | 84 (HP) de potencia | Tracción 4x4 | Transmisión 8 avance & 8 retroceso con inversor electrohidráulico | Toma de fuerza 540 RPM | 3 puntos con capacidad de 1.900 kg | 3 Válvulas de control remoto (opcional) | Dirección hidráulica | Ancho min 1.360 (mm) | Rádio de giro 2,90 (mts) | Opcional hasta 3 salidas hidraulicas. Productos similares ‹ › U$S 17.000 + IVA Tractor Fiat 780 2026 Buenos Aires ‹ › Consultar Tractor Fiat 650 1975 Buenos Aires ‹ › Consultar Tractor Fiat 800 E No especifica Buenos Aires : O KM : INMEDIATA Consultar Tractor Case Farmall 75 JXM 2026 Santa Fe ‹ › U$S 22.660 + IVA Tractor Deutz A85 1979 Buenos Aires : O KM ‹ › Consultar Tractor Chery RK 904 2026 Santa Fe : O KM Consultar Tractor Roland H H080 cabinado 2026 Buenos Aires ‹ › U$S 24.720 + IVA Tractor John Deere 2140 1997 Córdoba : O KM ‹ › Consultar -10% DE CONTADO Tractor Chery WD904 2026 Buenos Aires ‹ › Consultar Tractor New Holland TT3840F No especifica Buenos Aires Productos similares;
Rastroagro;https://rastroagro.com/tractores/kubota-l3800-cabinado-0-pub-23-10-18-14-50-10;Tractor Kubota L3800 Cabinado;Consultar;;Kubota L3800;Cabinado;374.0;2026.0;Anticipo 30 % + 11 cheques | 6 cheques (cuotas mensuales) | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Kubota L3800 Cabinado Motor Kubota diesel | 3 Cilindros | 37.4 (HP) de potencia | Tracción 4x4 | Transmisión 8 avance & 4 retroceso | Toma de fuerza de funcionamiento continuo | 1 Válvula de control remoto (opcional) | Dirección asistida | Ancho min 1228 | Rádio de giro 2,50 (mts) | Aire Acondicionado Productos similares : O KM ‹ › Consultar Tractor Kubota L3800 Turf 2026 Córdoba ‹ › Consultar Tractor Zanello 500C 2004 Buenos Aires ‹ › Consultar Tractor Case Magnum 340 2003 Buenos Aires : O KM Consultar -10% DE CONTADO Tractor Case Puma 230 2026 La Pampa ‹ › U$S 242.050 + IVA -5% DE CONTADO Tractor Case Magnum 340 2014 Buenos Aires : O KM ‹ › Consultar Tractor Massey Ferguson 7390 2026 Buenos Aires : O KM Consultar Tractor Valtra S324 2026 Buenos Aires ‹ › U$S 242.050 + IVA -5% DE CONTADO Tractor Case Magnum 260 2017 Buenos Aires ‹ › Consultar Tractor John Deere 8220 2004 Córdoba ‹ › U$S 61.800 + IVA -5% DE CONTADO Tractor Pauny 500 C 2010 Buenos Aires Productos similares;
Rastroagro;https://rastroagro.com/tractores/kubota-l3800-0-pub-23-10-18-14-26-15;Tractor Kubota L3800 Turf;Consultar;;Kubota L3800;Turf;374.0;2026.0;Anticipo 30 % + 11 cheques | 6 cheques (cuotas mensuales) | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Kubota L3800 Turf Motor Kubota diesel | 3 Cilindros | 37.4 (HP) de potencia | Tracción 4x4 | Transmisión 8 avance & 4 retroceso | Toma de fuerza de funcionamiento continuo | 3 puntos con capacidad de 906 kg | 1 Válvula de control remoto (opcional) | Dirección asistida | Ancho min 1.400 (mm) | Rádio de giro 2,50 (mts) Productos similares : O KM ‹ › Consultar -7% DE CONTADO Tractor Pauny 500 Novo 2026 Buenos Aires ‹ › U$S 61.800 + IVA Tractor Zanello 500 C 1995 Buenos Aires : O KM ‹ › Consultar Tractor Massey Ferguson 8737 S-VT 2026 Buenos Aires : O KM Consultar Tractor Valtra T 230 2026 Buenos Aires ‹ › Consultar Tractor New Holland T7.240 2013 Buenos Aires : O KM ‹ › Consultar Tractor Pauny Bravo 540 2026 Buenos Aires : O KM U$S 119.119 IVA incluido Tractor Chery RS 2204 2026 Buenos Aires : O KM ‹ › Consultar -7% DE CONTADO Tractor Pauny 500 C 2026 Buenos Aires : O KM ‹ › Consultar Tractor Massey Ferguson 7415 2026 Buenos Aires : O KM ‹ › Consultar -7% DE CONTADO Tractor Pauny 710 Bravo 2026 Buenos Aires Productos similares;
Rastroagro;https://rastroagro.com/tractores/kubota-l3800-0-pub-23-10-18-11-46-37;Tractor Kubota L3800;Consultar;;Kubota;L3800;38.0;2026.0;Anticipo 30 % + 11 cheques | 6 cheques (cuotas mensuales) | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Motor Kubota diesel | 3 Cilindros | 38 (HP) de potencia | Tracción 4x4 | Transmisión 8 avance & 4 retroceso | Toma de fuerza 540 RPM | 3 puntos con capacidad de 906 kg | 1 Válvula de control remoto (opcional) | Dirección asistida | Ancho min 1.280 (mm) | Rádio de giro 2,50 (mts) Productos similares : O KM U$S 24.910 IVA incluido Tractor Kioti CS2610 2026 Buenos Aires ‹ › Consultar Tractor Ruslan T25 1984 Buenos Aires : O KM Consultar Tractor Chery RA-254 2026 Entre Ríos : O KM ‹ › Consultar Tractor Lovol 250 parquero 2026 Buenos Aires : O KM : INMEDIATA ‹ › U$S 14.466 IVA incluido Tractor Bronco 254 2026 Buenos Aires : O KM ‹ › U$S 20.111 IVA incluido Tractor Lovol TE354 2026 Buenos Aires : O KM Consultar Tractor Chery RA-250 2026 Entre Ríos : O KM ‹ › U$S 4.848 + IVA Tractor Roland H H001 STD 2026 Buenos Aires : O KM $ 4.751.390 Tractor Niwa CTNW-38M 2026 Santa Fe : O KM U$S 21.971 IVA incluido Tractor Zanello 4045 2026 Córdoba Productos similares;
Rastroagro;https://rastroagro.com/tractores/kubota-mx5100-0-pub-23-10-18-11-22-35;Tractor Kubota MX5100;Consultar;;Kubota;MX5100;51.0;2026.0;Anticipo 30 % + 11 cheques | 6 cheques (cuotas mensuales) | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Motor Kubota diesel 4 Cilindros | 51 (HP) de potencia | Tracción 4x4 | Transmisión 8 avance & 8 retroceso con inversor | Toma de fuerza 540 RPM | 3 puntos con capacidad de 1.300 kg | 3 Válvulas de control remoto (opcional) | Dirección hidráulica | Ancho min 1.640 (mm) | Rádio de giro 2,70 (mts). Productos similares ‹ › $ 9.540.000 Tractor Fiat R55 1957 Buenos Aires : O KM ‹ › U$S 27.736 IVA incluido Tractor Chery RD 704 Agrícola 2026 Buenos Aires ‹ › U$S 10.300 + IVA Tractor Fiat 800 1974 Entre Ríos ‹ › U$S 40.280 Tractor Deutz Allis 5.80F 1998 Buenos Aires : O KM ‹ › Consultar -5% DE CONTADO Tractor Case Farmall 100 JX 2026 Buenos Aires ‹ › Consultar Tractor Deutz Fahr AX 80 No especifica Córdoba ‹ › U$S 60.770 + IVA -10% DE CONTADO Tractor New Holland TL 95 2007 Buenos Aires : O KM U$S 39.391 IVA incluido Tractor Zanello 4070 2026 Córdoba : O KM ‹ › Consultar -5% DE CONTADO Tractor Case Farmall 55 JXM 2026 Buenos Aires ‹ › Consultar Tractor Massey Ferguson 165 No especifica Buenos Aires Productos similares;
Rastroagro;https://rastroagro.com/tractores/roland-h001-6x4-0-pub-23-10-13-09-31-52;Tractor Roland H H001 6X4;Consultar;;Roland H H001;6X4;15.0;2026.0;Anticipo 50 % + saldo a convenír | Entre Ríos | Medios de pago | Financiamiento;Entre Ríos;Nuevo;Tractor cespedero Roland H001 6X4 Ancho de corte 70CM / Altura de corte Regulación milimétrica de corte de 0 a 15 cm / Sistema de corte “Discorte” (disco y cuchillas de acero 1045 al boro) apto para cortar césped, malezas y arbustos / máx. rendimiento 4000 M2 de terreno en 1 hora y con 1 Lt de combustible / tracción doble delantera / dirección trasera con ruedas duales / Frenos hidráulicos doble disco / corta Césped, Malezas de hasta 1,5 mts. y Arbustos de hasta 12 cm Productos similares : O KM ‹ › Consultar Tractor Roland H H001 2026 Córdoba : O KM Consultar Tractor Roland H H001 EVO manual 15 HP 2026 Córdoba : O KM U$S 5.227 IVA incluido Tractor Roland H H001 EVO B&S eléctrico 13,5 HP 2026 Córdoba : O KM ‹ › Consultar Tractor Poulan 15,5 HP 2026 La Pampa : O KM Consultar Tractor Roland H H001 PRO eléctrico 15 HP 2026 Córdoba : O KM Consultar Tractor Roland H H001 5X4 eléctrico 15 HP 2026 Córdoba : O KM ‹ › Consultar Tractor Roland H H001 STD 2026 Entre Ríos : O KM ‹ › Consultar -7% DE CONTADO Tractor Yard Machines 19 hp 2026 Buenos Aires : O KM ‹ › Consultar Tractor Roland H H001 EVO 2026 Entre Ríos : O KM U$S 4.394 IVA incluido Tractor Roland H H001 PRO B&S eléctrico 13,5 HP 2026 Córdoba Productos similares;
Rastroagro;https://rastroagro.com/tractores/roland-h001-evo-0-pub-23-10-13-09-25-56;Tractor Roland H H001 EVO;Consultar;;Roland H H001;EVO;15.0;2026.0;Anticipo 50 % + saldo a convenír | Entre Ríos | Medios de pago | Financiamiento;Entre Ríos;Nuevo;Tractor cespedero Roland H001 EVO Ancho de corte 70CM / Altura de corte Regulación milimétrica de corte de 0 a 15 cm / Sistema de corte “Discorte” (disco y cuchillas de acero 1045 al boro) apto para cortar césped, malezas y arbustos / máx. rendimiento 4000 M2 de terreno en 1 hora y con 1 Lt de combustible / tracción en las dos ruedas delanteras / dirección trasera con ruedas duales / Frenos hidráulicos doble disco / corta Césped, Malezas de hasta 1,5 mts. y Arbustos de hasta 12 cm Productos similares : O KM ‹ › Consultar Tractor Roland H H001 5X4 manual 15 HP 2026 Córdoba : O KM Consultar Tractor Roland H H001 EVO manual 15 HP 2026 Córdoba : O KM U$S 27.495 IVA incluido Tractor Kioti ZXD72 2026 Buenos Aires : O KM ‹ › Consultar Tractor Poulan PRO 2026 La Pampa ‹ › Consultar Tractor Roland H 13 hp No especifica Santa Fe : O KM ‹ › Consultar Tractor Roland H RH122 2026 Buenos Aires : O KM U$S 10.868 IVA incluido Tractor Roland H T-Rex 2WD 2026 Córdoba : O KM ‹ › Consultar Tractor Gravely ZTX 52 2026 Entre Ríos : O KM ‹ › Consultar -7% DE CONTADO Tractor Yard Machines 19 hp 2026 Buenos Aires : O KM Consultar Tractor Roland H H001 5X4 eléctrico 15 HP 2026 Córdoba Productos similares;
Rastroagro;https://rastroagro.com/tractores/roland-h001-pro-0-pub-23-10-13-09-19-11;Tractor Roland H H001 PRO;Consultar;;Roland H H001;PRO;15.0;2026.0;Anticipo 50 % + saldo a convenír | Entre Ríos | Medios de pago | Financiamiento;Entre Ríos;Nuevo;Tractor Cespedero Roland H001 PRO Ancho de corte 70CM / Altura de corte Regulación milimétrica de corte de 0 a 15 cm / Sistema de corte “Discorte” (disco y cuchillas de acero 1045 al boro) apto para cortar césped, malezas y arbustos / máx. rendimiento 4000 M2 de terreno en 1 hora y con 1 Lt de combustible / tracción en las dos ruedas delanteras / dirección trasera con ruedas duales / Frenos hidráulicos doble disco Productos similares : O KM Consultar Tractor Roland H H001 EVO eléctrico 15 HP 2026 Córdoba : O KM Consultar Tractor Roland H RH 001 STD manual 15 HP No especifica Córdoba : O KM U$S 3.751 IVA incluido Tractor Roland H RH 001 STD B&S manual 13,5 HP No especifica Córdoba : O KM U$S 27.495 IVA incluido Tractor Kioti ZXD72 2026 Buenos Aires : O KM U$S 4.764 IVA incluido Tractor Roland H H001 EVO B&S manual 13,5 HP 2026 Córdoba : O KM ‹ › Consultar Tractor Poulan 15,5 HP 2026 La Pampa : O KM ‹ › Consultar Tractor Roland H H001 6X4 2026 Entre Ríos : O KM ‹ › Consultar Tractor Roland H H001 5X4 manual 15 HP 2026 Córdoba : O KM ‹ › U$S 9.937 IVA incluido Tractor Bronco TR500 2026 Buenos Aires : O KM U$S 3.932 IVA incluido Tractor Roland H H001 PRO B&S manual 13,5 HP 2026 Córdoba Productos similares;
Rastroagro;https://rastroagro.com/tractores/zanello-460-1-pub-25-01-24-09-59-34;Tractor Zanello 460;Consultar;;Zanello;460;160.0;;;Buenos Aires;Nuevo;Motor de cosechadora John Deere 1110 impecable / cubiertas recapadas Productos similares ‹ › U$S 139.050 + IVA Tractor New Holland T7.240 2016 Buenos Aires ‹ › $ 122.570.000 + IVA -7% DE CONTADO Tractor Pauny EVO 580 C 2018 Buenos Aires : O KM ‹ › Consultar Tractor Pauny Brioso 2215 ie 2026 Buenos Aires : O KM ‹ › Consultar -5% DE CONTADO Tractor Massey Ferguson 7415 2026 La Pampa ‹ › U$S 128.750 + IVA -10% DE CONTADO Tractor John Deere 8320 2003 La Pampa : O KM ‹ › Consultar Tractor Pauny Novo 540 2026 Buenos Aires ‹ › Consultar Tractor Zanello 500C 2004 Buenos Aires ‹ › U$S 61.800 + IVA Tractor Pauny 500 C 2007 Córdoba ‹ › Consultar Tractor New Holland T7.240 2013 Buenos Aires : O KM Consultar Tractor Pauny 540 C 2026 Buenos Aires Productos similares;
Rastroagro;https://rastroagro.com/tractores/valtra-bh-160-2008-pub-24-05-10-19-30-16;Tractor Valtra BH 160;Consultar;;Valtra BH;160;160.0;2008.0;Anticipo 50 % + saldo a convenír | Anticipo 40 % + 6 cheques | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Tractor Valtra BH 160 doble tracción año 2008 Triple comando | cabina con climátic | toma de fuerza independiente rodado | traseros 23-1x30 y delanteras 16-9x28 | motor Sisu con transmisión Eaton | año 2008 Productos similares : O KM ‹ › Consultar Tractor Massey Ferguson 6712R 2026 Buenos Aires : INMEDIATA ‹ › U$S 36.050 + IVA Tractor Zanello 4200 1985 Buenos Aires ‹ › Consultar -5% DE CONTADO Tractor Pauny 280 A 2011 Buenos Aires : O KM ‹ › Consultar Tractor Valtra AH 134 HI TECH 2026 Córdoba ‹ › U$S 32.445 + IVA Tractor Massey Ferguson 292 No especifica Córdoba ‹ › U$S 28.840 + IVA Tractor Massey Ferguson 1195 L 1990 Córdoba ‹ › U$S 39.140 + IVA -5% DE CONTADO Tractor Zanello 460 1993 Buenos Aires ‹ › U$S 20.600 + IVA Tractor Fiat 1100E 1975 Buenos Aires : O KM ‹ › U$S 65.042 IVA incluido Tractor Kioti PX1052PC 2026 Buenos Aires : O KM ‹ › Consultar Tractor Massey Ferguson 7390 2026 Córdoba Productos similares;
Rastroagro;https://rastroagro.com/tractores/zanello-4200-0-pub-23-10-12-13-27-24;Tractor Zanello 4200;Consultar;;Zanello;4200;160.0;;Anticipo 50 % + saldo a convenír | Anticipo 40 % + 6 cheques | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Tractor Zanello Articulado 4200 Motor Perkins 160hp | Caja zf Brasil | Con cabina | Doble salida hidraulica | rodado 18,4x34 simple Productos similares ‹ › Consultar Tractor Pauny EVO 280 A 2021 Santa Fe ‹ › U$S 76.220 Tractor Pauny EVO 280 A 2017 Santa Fe ‹ › U$S 49.440 + IVA Tractor Zanello 450 1990 Buenos Aires : O KM : INMEDIATA ‹ › Consultar Tractor Case Puma 155 2026 Santa Fe ‹ › Consultar Tractor Fiat 180-90 1995 Córdoba ‹ › U$S 39.140 + IVA -5% DE CONTADO Tractor Zanello 460 1993 Buenos Aires : O KM ‹ › U$S 77.240 IVA incluido Tractor Chery RS 1604 2026 Buenos Aires ‹ › U$S 60.770 + IVA Tractor Pauny 280 EVO 2014 Córdoba ‹ › Consultar Tractor Zanello 500 C No especifica Buenos Aires : O KM Consultar Tractor Pauny Brioso 2215 ie 2026 Buenos Aires Productos similares;
Rastroagro;https://rastroagro.com/tractores/massey-ferguson-1195-l-1995-pub-25-01-24-15-48-06;Tractor Massey Ferguson 1195 L;U$S 24.720;USD;Massey Ferguson 1195;L;95.0;1995.0;;Santa Fe;Nuevo;Productos similares U$S 57.680 Tractor Case Farmall 95 2012 Santa Fe : O KM ‹ › Consultar -5% DE CONTADO Tractor Case Farmall 55 JXM 2026 Buenos Aires ‹ › U$S 38.160 Tractor Agco Allis AX 5.80 1998 Buenos Aires : O KM ‹ › Consultar Tractor Massey Ferguson 3308 xtra 2026 Buenos Aires ‹ › U$S 41.715 + IVA Tractor Kubota MX 5100 2022 Buenos Aires : O KM Consultar -5% DE CONTADO Tractor Case Farmall 75 JXM 2026 Buenos Aires ‹ › Consultar Tractor Massey Ferguson 1175 1983 Buenos Aires ‹ › Consultar Tractor Zanello UP 100 No especifica Buenos Aires : O KM ‹ › U$S 35.089 IVA incluido Tractor Bronco 804 2026 Buenos Aires ‹ › $ 16.995.000 Tractor Zanello UP 100 1985 Córdoba Productos similares;24720.0
Rastroagro;https://rastroagro.com/tractores/deutz-ax100-1985-pub-26-01-09-09-21-28;Tractor Deutz AX100;U$S 25.235 + IVA;USD;Deutz;AX100;100.0;1985.0;Anticipo 40 % + saldo a convenír | Anticipo 40 % + 6 cheques | Córdoba | Medios de pago | Financiamiento;Córdoba;Nuevo;Productos similares ‹ › Consultar Tractor Deutz AX 4.100 No especifica Buenos Aires ‹ › U$S 25.440 + IVA Tractor Massey Ferguson 290 No especifica Buenos Aires ‹ › Consultar Tractor John Deere 2420 1976 Buenos Aires Consultar Tractor New Holland TM150 No especifica Córdoba ‹ › U$S 12.360 + IVA Tractor Fiat 60R No especifica Córdoba : O KM U$S 41.990 IVA incluido Tractor Lovol T754N-B 2026 Buenos Aires ‹ › U$S 11.330 + IVA Tractor Deutz 90 1990 Córdoba ‹ › U$S 60.770 + IVA -10% DE CONTADO Tractor New Holland TL 95 2007 Buenos Aires ‹ › U$S 15.450 Tractor Fiat 800E 1979 Buenos Aires : O KM : INMEDIATA ‹ › Consultar Tractor Bronco 804 2026 Buenos Aires Productos similares;25235.0
Rastroagro;https://rastroagro.com/tractores/valtra-bh-180-7689-0-pub-25-10-01-17-37-23;Tractor Valtra BH 180 #7689;Consultar;;Valtra BH 180;#7689;160.0;2008.0;CONTADO: 8 % descuento | Anticipo 30 % + 4 pagos semestrales | Anticipo 30 % + 8 pagos semestrales | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;2008 - DT Productos similares ‹ › U$S 23.199 Tractor Massey Ferguson 1095 1985 Buenos Aires ‹ › Consultar Tractor Challenger WT590 2005 Buenos Aires ‹ › Consultar Tractor Deutz AX 100 1989 Buenos Aires ‹ › U$S 56.650 + IVA Tractor New Holland TM 7040 2008 Buenos Aires ‹ › U$S 48.410 + IVA Tractor Pauny 250 P 2006 Santa Fe : INMEDIATA ‹ › U$S 77.250 + IVA Tractor Case Maxxum 180 2008 Buenos Aires : O KM ‹ › Consultar -5% DE CONTADO Tractor Case Puma 140 2026 Buenos Aires ‹ › U$S 30.900 + IVA Tractor Hanomag TR115 2019 Buenos Aires ‹ › U$S 31.930 + IVA -10% DE CONTADO Tractor Deutz Fahr AX 4.170 1995 La Pampa ‹ › U$S 87.550 + IVA Tractor Agco Allis 6.150 A 2014 Buenos Aires Productos similares;
Rastroagro;https://rastroagro.com/tractores/bronco-804-0-pub-25-09-22-11-24-45;Tractor Bronco 804;U$S 35.089;USD;Bronco;804;80.0;2026.0;Anticipo 40 % + 6 cheques | Anticipo 40 % + saldo a convenír | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Productos similares ‹ › U$S 14.420 + IVA Tractor Massey Ferguson 1175 1979 Santa Fe : O KM : 15 DIAS U$S 18.025 -8% DE CONTADO Tractor Chery RA504 2026 Buenos Aires ‹ › U$S 37.100 + IVA Tractor Valtra BF75 No especifica Buenos Aires ‹ › U$S 60.770 + IVA -10% DE CONTADO Tractor New Holland TL 95 2007 Buenos Aires ‹ › U$S 47.895 + IVA Tractor New Holland TL85E 2007 Buenos Aires ‹ › Consultar Tractor Deutz Fahr AX 80 No especifica Córdoba ‹ › Consultar Tractor Deutz Fahr AX 4.75 1992 Buenos Aires ‹ › U$S 22.660 Tractor Massey Ferguson 1195 1984 Santa Fe ‹ › Consultar Tractor Fiat 700E No especifica Buenos Aires ‹ › Consultar Tractor John Deere 3330 1985 Buenos Aires Productos similares;35089.0
Rastroagro;https://rastroagro.com/tractores/case-puma-180-2013-pub-25-10-01-15-14-19;Tractor Case Puma 180;U$S 103.000 + IVA;USD;Case Puma;180;180.0;2013.0;CONTADO: 5 % descuento | Anticipo 30 % + 6 pagos semestrales | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Productos similares ‹ › U$S 51.500 + IVA Tractor Case Farmall 110 A No especifica Santa Fe ‹ › U$S 26.780 + IVA Tractor John Deere 3530 No especifica Córdoba : O KM : INMEDIATA ‹ › U$S 63.757 + IVA Tractor Chery 1404 2026 La Pampa ‹ › U$S 46.350 + IVA Tractor Agco Allis 6.110 2008 Córdoba ‹ › U$S 28.840 + IVA Tractor Massey Ferguson 1195 L 1990 Córdoba ‹ › U$S 21.630 + IVA Tractor Massey Ferguson 1215 1982 Córdoba ‹ › U$S 79.310 + IVA -10% DE CONTADO Tractor Massey Ferguson 680 ADV 2008 Buenos Aires : O KM ‹ › Consultar Tractor Chery RC 1104 2026 Santa Fe : O KM Consultar Tractor Lovol 1504 R 2026 Córdoba ‹ › U$S 30.900 + IVA Tractor Deutz Fahr AX 4.120 1994 Santa Fe Productos similares;103000.0
Rastroagro;https://rastroagro.com/tractores/agco-allis-695-2008-pub-25-10-01-08-32-59;Tractor Agco Allis 6.95;$ 21.218.000 + IVA;ARS;Agco Allis;6.95;90.0;2008.0;;Santa Fe;Nuevo;4 cilindros aspirado Refrigerado x aire 90 Caballos de fuerza(Cv) Productos similares ‹ › U$S 14.420 + IVA Tractor Massey Ferguson 1175 1979 Santa Fe : O KM Consultar Tractor Hanomag 800/4 2026 Buenos Aires ‹ › Consultar Tractor Fiat Superson 55 No especifica Buenos Aires : O KM ‹ › Consultar Tractor Massey Ferguson 3308 2026 Córdoba : O KM U$S 29.582 IVA incluido Tractor Kioti DK5810N 2026 Buenos Aires ‹ › U$S 60.770 + IVA Tractor New Holland TD 5.90 2016 Entre Ríos ‹ › Consultar Tractor Deutz Fahr A86 No especifica Santa Fe : O KM ‹ › Consultar Tractor Lovol Europard 904 2026 Buenos Aires ‹ › Consultar Tractor Fiat 650 1975 Buenos Aires ‹ › U$S 9.540 Tractor Zanello UP 100 1987 Córdoba Productos similares;14145.333333333334
Rastroagro;https://rastroagro.com/tractores/zanello-450-1990-pub-25-09-30-15-54-22;Tractor Zanello 450;U$S 51.500;USD;Zanello;450;150.0;1990.0;Anticipo 50 % + saldo a convenír | Anticipo 40 % + 6 cheques | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Zanello 450 año 1990 con motor Deutz 6 cilindros turbo tipo artículado caja en cascada con alta y baja duales nuevas 18-4x34 doble salida hidráulica con bomba grande y toma de fuerza Productos similares ‹ › U$S 31.930 + IVA -10% DE CONTADO Tractor Deutz Fahr AX 4.170 1995 La Pampa Consultar Tractor Case MXM 150 2008 Buenos Aires ‹ › U$S 28.840 Tractor Massey Ferguson 1215 1978 Buenos Aires ‹ › U$S 25.750 + IVA -10% DE CONTADO Tractor Massey Ferguson 5140 1985 Buenos Aires ‹ › U$S 36.050 + IVA Tractor Massey Ferguson 1660 1997 Buenos Aires : O KM ‹ › U$S 119.569 + IVA Tractor Massey Ferguson 6712 2026 Buenos Aires ‹ › U$S 29.680 Tractor Case 5140 1998 Córdoba ‹ › U$S 21.630 + IVA Tractor Massey Ferguson 1215 1982 Córdoba ‹ › U$S 60.770 + IVA Tractor Pauny 280 EVO 2014 Córdoba : O KM Consultar Tractor Massey Ferguson 6711 2026 Buenos Aires Productos similares;51500.0
Rastroagro;https://rastroagro.com/tractores/fiat-800-1-pub-25-09-30-09-34-17;Tractor Fiat 800;U$S 15.450 + IVA;USD;Fiat;800;80.0;;Anticipo 40 % + saldo a convenír | 12 cheques (cuotas mensuales) | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Productos similares ‹ › $ 8.692.000 + IVA Tractor Someca 45 1980 Córdoba : O KM ‹ › Consultar Tractor Chery RK-704 2026 Entre Ríos ‹ › U$S 25.235 + IVA Tractor Deutz AX100 1985 Córdoba ‹ › Consultar Tractor Massey Ferguson 1098 1994 Córdoba : O KM U$S 42.543 IVA incluido Tractor Lovol TH904 2026 Buenos Aires ‹ › Consultar Tractor Deutz A70 No especifica Buenos Aires ‹ › U$S 11.130 Tractor Fiat R60 1980 Buenos Aires ‹ › Consultar Tractor Massey Ferguson 1185 S 1988 Buenos Aires ‹ › U$S 14.420 + IVA Tractor John Deere 2420 1980 Córdoba ‹ › Consultar Tractor Deutz Fahr AX80 1989 Córdoba Productos similares;15450.0
Rastroagro;https://rastroagro.com/tractores/fiat-800e-1979-pub-25-09-27-12-54-34;Tractor Fiat 800E;U$S 15.450;USD;Fiat;800E;80.0;1979.0;Anticipo 50 % + saldo a convenír | Anticipo 40 % + 6 cheques | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;Tractor usado marca Fiat modelo 800 E con cabina original dirección hidráulica año 1979 toma de fuerza independiente con doble salida hidráulica Productos similares ‹ › Consultar Tractor Fahr 55 hp 1966 Buenos Aires ‹ › Consultar Tractor Fiat 800 No especifica Buenos Aires ‹ › Consultar Tractor John Deere 730 No especifica Santa Fe : O KM ‹ › U$S 38.522 -8% DE CONTADO Tractor Chery RK 904 2026 Buenos Aires : O KM Consultar Tractor Valtra A 850 2026 Buenos Aires : O KM ‹ › U$S 35.089 IVA incluido Tractor Bronco 804 2026 Buenos Aires ‹ › U$S 80.340 Tractor Massey Ferguson 297 con grúa 2006 Buenos Aires : O KM Consultar Tractor New Holland TT4.90 2026 Santa Fe ‹ › $ 15.965.000 Tractor Deutz A85 1974 Buenos Aires ‹ › Consultar Tractor Deutz Fahr AX 4.75 1992 Buenos Aires Productos similares;15450.0
Rastroagro;https://rastroagro.com/tractores/deutz-a85-7255-0-pub-25-09-27-12-42-50;Tractor Deutz A85 #7255;Consultar;;Deutz A85;#7255;85.0;;CONTADO: 8 % descuento | Anticipo 30 % + 4 pagos semestrales | Anticipo 30 % + 8 pagos semestrales | Buenos Aires | Medios de pago | Financiamiento;Buenos Aires;Nuevo;1978 - ST - Rod. 23.1x30 - Motor 2114 - Doble com. Hidr. - Caja 4º A/B - Cabina Rumifer Productos similares ‹ › U$S 51.500 Tractor Massey Ferguson 4283 2020 Buenos Aires : O KM ‹ › Consultar Tractor Chery RD-504 2026 Entre Ríos ‹ › U$S 10.300 + IVA Tractor Fiat 800 1974 Entre Ríos ‹ › $ 16.995.000 Tractor Zanello UP 100 1985 Córdoba ‹ › Consultar Tractor Deutz Fahr AX80 1989 Córdoba ‹ › U$S 56.650 + IVA Tractor New Holland T5070 2013 Buenos Aires ‹ › U$S 18.025 + IVA Tractor John Deere 2420 No especifica Santa Fe ‹ › Consultar Tractor Massey Ferguson 1185 No especifica La Pampa ‹ › U$S 16.480 + IVA Tractor Deutz 55 1975 Santa Fe ‹ › Consultar Tractor John Deere 2850 No especifica Córdoba Productos similares;
